2024-10-08 00:00:00,00:00:00,3.46,nan,nan.1,nan.2,nan.3,nan.4,nan.5,676.63,nan.6,nan.7,nan.8,nan.9,nan.10,nan.11,nan.12,nan.13,nan.14,nan.15,nan.16,nan.17,nan.18,668.96,nan.19,nan.20,nan.21,nan.22,nan.23,nan.24,Unnamed: 30,Unnamed: 31,Unnamed: 32,Corriente,Tn SV,Real TnSV,Real (tn Bruta),TnSV/ Carga,% SV,Unnamed: 39,Unnamed: 40,1.2,4.3125,4.3125.1,90,0
2024-10-08,01:00:00,,,,,,,,687.61,,,,,,,,,,,,,,667.55,,,,,,,,,,Buffer-040,5,,,0.20833333333333334,0.855,,,,,,,
2024-10-08,02:00:00,,,,,,,,692.82,,,,,,,,,,,,,,652.85,,,,,,,,,,Buffer-050,0,,,0,0.855,,,,,,,
2024-10-08,03:00:00,,,,,,,,690.6,,,,,,,,,,,,,,665.87,,,,,,,,,,Silo 040,7.5,,,0.3125,0.9372,,,Tiempo [s],M3,CAUDAL,SEG A INGRESAR,M3 A INGRESAR
2024-10-08,04:00:00,,,,,,,,683.59,,,,,,,,,,,,,,665.67,,,,,,,,,,Silo 050,7.25,,,0.3020833333333333,0.9372,,,3600,90,0.025,135.6,3.39
2024-10-08,05:00:00,,,,,,,,691.38,,,,,,,,,,,,,,669.17,,,,,,,,,,,,,,,,,,,,,,
2024-10-08,06:00:00,3.33,0.072,0.20499479999999998,,3.3842321854017765,,,691.05,0.3709,0.24021414905400001,,0.8990025185879198,,,,,,,,,,665.71,0.3709,0.23140577551080002,,0.8690357679683225,,,,,,Objetivos,,,,,,,,,,,,
2024-10-08,07:00:00,3.33,0.072,0.20499479999999998,,3.3842321854017765,,,957.21,0.3709,0.33273335593080006,,0.8990025185879198,,,,,,,,,,883.2,0.3709,0.307006926336,,0.8690357679683225,,,,,,,Cantidad ,Real ,m3/carga,Comentarios,,,,,,,,
2024-10-08,08:00:00,0.0,0.072,0.0,,3.3842321854017765,,,0.0,0.3709,0.0,,0.8990025185879198,,,,,,,,,,0.0,0.3709,0.0,,0.8690357679683225,,,,,,Trasvase,100,0,4.166666666666667,,,,,,,,,
2024-10-08,09:00:00,0.0,0.072,0.0,,3.3842321854017765,,,0.0,0.3709,0.0,,0.8990025185879198,,,,,,,,,,0.0,0.3709,0.0,,0.8690357679683225,,,,,,Dewater,100,0,4.166666666666667,,,,,,,,,
2024-10-08,10:00:00,0.0,0.072,0.0,,3.3842321854017765,,,0.0,0.3709,0.0,,0.8990025185879198,,,,,,,,,,0.0,0.3709,0.0,,0.8690357679683225,,,,,,,,,,,,,,,,,,
2024-10-08,11:00:00,0.0,0.072,0.0,,3.3842321854017765,,,0.0,0.3709,0.0,,0.8990025185879198,,,,,,,,,,0.0,0.3709,0.0,,0.8690357679683225,,,,,,Descargas en Buffer,,,,,,,,,,,,
2024-10-08,12:00:00,0.0,0.072,0.0,,3.3842321854017765,,,0.0,0.3709,0.0,,0.8990025185879198,,,,,,,,,,0.0,0.3709,0.0,,0.8690357679683225,,,,,,Sustratos ,Cantidad diaria,,Calidad,Comentarios,,,,,,,,
2024-10-08,13:00:00,,0.072,,,3.3842321854017765,,,,0.3709,,,0.8990025185879198,,,,,,,,,,,0.3709,,,0.8690357679683225,,,,,,Lactosa,X,,28.5,,,,,,,,,
2024-10-08,14:00:00,,0.072,,,3.3842321854017765,,,,0.3709,,,0.8990025185879198,,,,,,,,,,,0.3709,,,0.8690357679683225,,,,,,Suero ,,,,,,,,,,,,
2024-10-08,15:00:00,,0.072,,,3.3842321854017765,,,,0.3709,,,0.8990025185879198,,,,,,,,,,,0.3709,,,0.8690357679683225,,,,,,Purin ,X,,,,,,,,,,,
2024-10-08,16:00:00,,0.072,,,3.3842321854017765,,,,0.3709,,,0.8990025185879198,,,,,,,,,,,0.3709,,,0.8690357679683225,,,,,,,,,,,,,,,,,,
2024-10-08,17:00:00,,0.072,,,3.3842321854017765,,,,0.3709,,,0.8990025185879198,,,,,,,,,,,0.3709,,,0.8690357679683225,,,,,,A cargar en Solid ,,,,,,,,,,,,
2024-10-08,18:00:00,,0.072,,,3.3842321854017765,,,,0.3709,,,0.8990025185879198,,,,,,,,,,,0.3709,,,0.8690357679683225,,,,,,Sustratos ,Cantidad diaria,,Cantidad/turno ,Comentarios,,,,,,,,
2024-10-08,19:00:00,,0.072,,,3.3842321854017765,,,,0.3709,,,0.8990025185879198,,,,,,,,,,,0.3709,,,0.8690357679683225,,,,,,Rumen ,8,,4,,,,,,,,,
2024-10-08,20:00:00,,0.072,,,3.3842321854017765,,,,0.3709,,,0.8990025185879198,,,,,,,,,,,0.3709,,,0.8690357679683225,,,,,,Expeller ,1,,0.5,,,,,,,,,
2024-10-08,21:00:00,,0.072,,,3.3842321854017765,,,,0.3709,,,0.8990025185879198,,,,,,,,,,,0.3709,,,0.8690357679683225,,,,,,Polvillo+Cascarillo planta de Silo,0.5,,0.16666666666666666,,,,,,,,,
2024-10-08,22:00:00,,0.072,,,3.3842321854017765,,,,0.3709,,,0.8990025185879198,,,,,,,,,,,0.3709,,,0.8690357679683225,,,,,,Silo ,,,0,,,,,,,,,
2024-10-08,23:00:00,,0.072,,,3.3842321854017765,,,,0.3709,,,0.8990025185879198,,,,,,,,,,,0.3709,,,0.8690357679683225,,,,,,,,,,,,,,,,,,
2024-10-09,00:00:00,4.3125,0.072,0.2654775,-0.6785869791666663,3.3842321854017765,2.7056452062351104,2.7056452062351104,800.0,0.3709,0.27808598400000006,0.034414015999999936,0.8990025185879198,0.9334165345879197,0.9334165345879197,0.0,0.072,0.0,0.0,0.0,0.0,0.0,800.0,0.3709,0.27808598400000006,0.02399734933333325,0.8690357679683225,0.8930331173016557,0.8930331173016557,,,,Objetivos,,,,,,,,Maximo Carga Solid,Maximo carga Buffer -040,Maximo carga Buffer -050,Volumen Maximo B-040,Volumen Maximo B-050
2024-10-09,01:00:00,2.7056452062351104,0.072,0.1665595188958334,-0.24968083543155722,3.3842321854017765,3.134551349970219,3.134551349970219,933.4165345879197,0.3709,0.32446256937843965,0.06458850258791982,0.8990025185879198,0.9635910211758396,0.9635910211758396,0.0,0.072,0.0,0.0,0.0,0.0,0.0,893.0331173016557,0.3709,0.31042499146177294,0.045038418634989176,0.8690357679683225,0.9140741866033116,0.9140741866033116,,0.0,,Corriente,Tn SV,Real TnSV,Real (tn Bruta),TnSV/ Carga,% SV,,,1.2,4.3125,4.3125,90,50
2024-10-09,02:00:00,3.134551349970219,0.072,0.19296298110416665,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,963.5910211758396,0.3709,0.3349514466215603,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,914.0741866033117,0.3709,0.3177390245382269,3.1938985450634044e-16,0.8690357679683225,0.8690357679683228,0.8690357679683228,,,,Buffer-040,5,4.791666666666667,77.83734026424085,0.20833333333333334,0.855,,,,,,,
2024-10-09,03:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683228,0.3709,0.3020833333333335,-6.387797090126809e-16,0.8690357679683225,0.8690357679683218,0.8690357679683218,,20.0,,Buffer-050,0,0,0,0,0.855,,,,,,,
2024-10-09,04:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683218,0.3709,0.3020833333333331,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Silo 040,7.5,7.1875,20.67705792752216,0.3125,0.9372,,,Tiempo [s],M3,CAUDAL,SEG A INGRESAR,M3 A INGRESAR
2024-10-09,05:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,6.387797090126809e-16,0.8690357679683225,0.8690357679683232,0.8690357679683232,,,,Silo 050,7.25,6.947916666666666,19.987822663271423,0.3020833333333333,0.9372,,,3600,90,0.025,135.6,3.39
2024-10-09,06:00:00,3.3842321854017765,0.072,0.20833333333333334,3.606962393194141e-15,3.3842321854017765,3.38423218540178,3.38423218540178,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683232,0.3709,0.30208333333333354,-1.2775594180253617e-15,0.8690357679683225,0.8690357679683212,0.8690357679683212,,,,,,,,,,,,,,,,
2024-10-09,07:00:00,3.38423218540178,0.072,0.20833333333333356,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683211,0.3709,0.3020833333333328,1.2775594180253617e-15,0.8690357679683225,0.8690357679683238,0.8690357679683238,,,,Objetivos,,,,,,,,,,,,
2024-10-09,08:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683239,0.3709,0.30208333333333376,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,,Cantidad ,Real ,m3/carga,Comentarios,,,,,,,,
2024-10-09,09:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,-1.2775594180253617e-15,0.8690357679683225,0.8690357679683212,0.8690357679683212,,,,Trasvase,107.37599444641536,0,4.47399976860064,107.37599444641536,,,,,,,,
2024-10-09,10:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683211,0.3709,0.3020833333333328,1.2775594180253617e-15,0.8690357679683225,0.8690357679683238,0.8690357679683238,,,,Dewater,135.9300268225174,60,3.163751117604891,75.93002682251739,,,,,,,,
2024-10-09,11:00:00,3.3842321854017765,0.072,0.20833333333333334,-7.213924786388283e-15,3.3842321854017765,3.3842321854017694,3.3842321854017694,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683239,0.3709,0.30208333333333376,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,,,,,,,,,,,,,
2024-10-09,12:00:00,3.3842321854017694,0.072,0.20833333333333293,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,-1.2775594180253617e-15,0.8690357679683225,0.8690357679683212,0.8690357679683212,,,,Descargas en Buffer,,,,,,,,,,,,
2024-10-09,13:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683211,0.3709,0.3020833333333328,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Sustratos ,Cantidad diaria,,Calidad,Comentarios,,,,,,,,
2024-10-09,14:00:00,3.3842321854017765,0.072,0.20833333333333334,-7.213924786388283e-15,3.3842321854017765,3.3842321854017694,3.3842321854017694,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,2.5551188360507235e-15,0.8690357679683225,0.869035767968325,0.869035767968325,,,,Lactosa,X,,28.5,,,,,,,,,
2024-10-09,15:00:00,3.3842321854017694,0.072,0.20833333333333293,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.035767968325,0.3709,0.3020833333333342,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Suero ,,,,,,,,,,,,
2024-10-09,16:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Purin ,X,,,,,,,,,,,
2024-10-09,17:00:00,3.3842321854017765,0.072,0.20833333333333334,-7.213924786388283e-15,3.3842321854017765,3.3842321854017694,3.3842321854017694,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,2.5551188360507235e-15,0.8690357679683225,0.869035767968325,0.869035767968325,,,,,,,,,,,,,,,,
2024-10-09,18:00:00,3.3842321854017694,0.072,0.20833333333333293,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.035767968325,0.3709,0.3020833333333342,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,A cargar en Solid ,,,,,,,,,,,,
2024-10-09,19:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Sustratos ,Cantidad diaria,Palero,Cantidad/turno ,Comentarios,,,,,,,,
2024-10-09,20:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,2.5551188360507235e-15,0.8690357679683225,0.869035767968325,0.869035767968325,,,,Rumen ,8,,4,,,,,,,,,
2024-10-09,21:00:00,3.3842321854017765,0.072,0.20833333333333334,1.4427849572776565e-14,3.3842321854017765,3.3842321854017907,3.3842321854017907,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.035767968325,0.3709,0.3020833333333342,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Expeller ,1,,0.5,,,,,,,,,
2024-10-09,22:00:00,3.3842321854017907,0.072,0.20833333333333423,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Polvillo+Cascarillo planta de Silo,0.5,,0.16666666666666666,,,,,,,,,
